state,model,subscription,price
Ohio,HP LaserJet 600 M602,3 months of Instant Ink,109.92011
Georgia,HP Laserjet M501dn,3 months of Instant Ink,93.06724
Louisiana,HP LaserJet P4015,9 months of Instant Ink,101.310326
Washington,HP Laserjet M611dn,no free month,171.34021
Arkansas,HP Color LaserJet CP5520 Series,9 months of Instant Ink,17.074266
Tennessee,HP LaserJet M607,3 months of Instant Ink,129.27136
Vermont,HP LaserJet M609,6 months of Instant Ink,139.18822
Minnesota,HP LaserJet M610,6 months of Instant Ink,97.837715
Nevada,HP Color Laserjet Pro MFP m479fdw ,6 months of Instant Ink,81.610115
Utah,HP LaserJet P4015,3 months of Instant Ink,146.78835
Indiana,HP ColorLaserjet Pro MFP 4301FDW,3 months of Instant Ink,56.024414
New Hampshire,HP Color LaserJet M555dn,6 months of Instant Ink,71.771324
Florida,HP Color LaserJet CP5520 Series,3 months of Instant Ink,24.20426
Illinois,HP LaserJet M607,6 months of Instant Ink,74.70733
Pennsylvania,HP LaserJet P4015,no free month,138.63309
Virginia,HP ColorLaserjet Pro MFP 4301FDW,no free month,128.469
Florida,HP Color LaserJet M611X,3 months of Instant Ink,30.864542
Montana,HP ColorLaserjet Pro MFP 4301FDW,9 months of Instant Ink,82.87294
New Jersey,HP LaserJet 600 M601,9 months of Instant Ink,99.69765
Maryland,HP Laserjet M501dn,6 months of Instant Ink,114.68162
Virginia,HP Laserjet M551,6 months of Instant Ink,164.66252
Arizona,HP Laserjet M501dn,9 months of Instant Ink,82.75004
Arkansas,HP LaserJet Pro 4001dn,3 months of Instant Ink,73.92372
Arkansas,HP Color LaserJet M555dn,9 months of Instant Ink,19.556385
Iowa,HP LaserJet 5200,9 months of Instant Ink,68.34431
Oregon,HP LaserJet 500 color M551,3 months of Instant Ink,107.86101
California,HP Laserjet M611dn,no free month,93.11992
New Jersey,HP Laserjet Enterprise M554,9 months of Instant Ink,127.95716
New Jersey,HP Color LaserJet CP4520 Series,3 months of Instant Ink,66.9212
Illinois,HP LaserJet M806,9 months of Instant Ink,83.9218
New Mexico,HP LaserJet M806X,9 months of Instant Ink,119.106224
Arkansas,HP Laserjet M611dn,9 months of Instant Ink,89.80127
Connecticut,HP Color LaserJet M611X,9 months of Instant Ink,30.016315
Kansas,HP LaserJet M610,6 months of Instant Ink,85.50903
Kentucky,HP Color Laserjet Pro MFP m479fdn,9 months of Instant Ink,57.105682
New Hampshire,HP LaserJet M806X,no free month,116.53657
Ohio,HP Color Laserjet Pro MFP 4301,3 months of Instant Ink,91.28441
North Carolina,HP LaserJet Pro 4001dn,9 months of Instant Ink,130.78448
New Jersey,HP Color Laserjet Pro MFP m479fdn,6 months of Instant Ink,83.99325
Ohio,HP LaserJet M806,6 months of Instant Ink,122.93805
Ohio,HP LaserJet Pro 4001dn,3 months of Instant Ink,132.34828
Ohio,HP Designjet Z6 (Large Format),9 months of Instant Ink,104.66193
Nevada,HP LaserJet M609,no free month,106.68209
Oklahoma,HP Color LaserJet M555dn,9 months of Instant Ink,88.885376
Kansas,HP LaserJet M609,6 months of Instant Ink,82.73959
Massachusetts,HP Laserjet M425dn,no free month,116.09646
Utah,HP Laserjet M501dn,no free month,160.43784
Kansas,HP LaserJet 5200,no free month,71.33983
North Carolina,HP Laserjet M501dn,9 months of Instant Ink,138.80592
Washington,HP LaserJet P4015,3 months of Instant Ink,152.96538
New York,HP Color LaserJet CP5520 Series,6 months of Instant Ink,76.57003
Alabama,HP LaserJet P4015,6 months of Instant Ink,67.341034
Ohio,HP Color LaserJet M555dn,3 months of Instant Ink,83.38128
Oregon,HP LaserJet 600 M602,3 months of Instant Ink,114.22544
Wisconsin,HP Color LaserJet CP5520 Series,9 months of Instant Ink,115.90512
Alaska,HP LaserJet Pro 4001dn,no free month,74.600426
Maine,HP LaserJet 500 color M551,9 months of Instant Ink,72.90131
Maryland,HP Laserjet M501dn,6 months of Instant Ink,114.68162
Maryland,HP Color Laserjet Pro MFP m479fdn,3 months of Instant Ink,60.499775
Virginia,HP Color LaserJet CP5225n,no free month,109.07956
Indiana,HP Color LaserJet CP5225n,3 months of Instant Ink,33.200638
Iowa,HP Color LaserJet CP5225n,9 months of Instant Ink,38.714645
Montana,HP LaserJet 600 M602,9 months of Instant Ink,93.9391
South Dakota,HP ColorLaserjet Pro MFP 4301FDW,6 months of Instant Ink,114.147415
Washington,HP Laserjet Enterprise M554,9 months of Instant Ink,159.85869
West Virginia,HP Color LaserJet M555dn,6 months of Instant Ink,113.85068
North Carolina,HP LaserJet M607,3 months of Instant Ink,110.2623
Florida,HP LaserJet P3010 Series,3 months of Instant Ink,78.076515
Florida,HP LaserJet Pro 4001dn,6 months of Instant Ink,84.68132
Georgia,HP Laserjet M551,3 months of Instant Ink,95.66854
Illinois,hp LaserJet 4350,9 months of Instant Ink,109.6281
New Jersey,HP LaserJet 600 M602,9 months of Instant Ink,101.77687
Virginia,HP Laserjet M501dn,9 months of Instant Ink,163.12334
Hawaii,HP LaserJet 600 M601,9 months of Instant Ink,64.105446
Indiana,hp LaserJet 4350,6 months of Instant Ink,110.21013
Hawaii,hp LaserJet 4350,6 months of Instant Ink,104.25754
Utah,HP LaserJet 600 M602,no free month,134.1077
Nevada,HP Color LaserJet M555x,no free month,74.93244
Ohio,HP LaserJet M609,6 months of Instant Ink,117.765274
Montana,HP ColorLaserJet 255dw,3 months of Instant Ink,77.69835
Michigan,HP ColorLaserJet 255dw,6 months of Instant Ink,70.44969
Arkansas,HP Color LaserJet M611X,9 months of Instant Ink,24.601711
New York,HP Color LaserJet M555x,3 months of Instant Ink,78.68118
Iowa,HP Color LaserJet M555x,no free month,46.40616
New York,HP Color LaserJet CP5520 Series,no free month,79.84017
Michigan,HP Laserjet M501dn,6 months of Instant Ink,118.1902
Massachusetts,HP LaserJet M610,6 months of Instant Ink,94.28045
Utah,HP LaserJet M610,3 months of Instant Ink,137.85927
Vermont,HP Laserjet Enterprise M554,3 months of Instant Ink,153.82196
Oregon,HP Color LaserJet M555x,no free month,94.68141
West Virginia,HP Color LaserJet CP5520 Series,3 months of Instant Ink,110.37689
Hawaii,HP Designjet Z6 (Large Format),9 months of Instant Ink,55.79714
Alaska,HP ColorLaserjet Pro MFP 4301FDW,6 months of Instant Ink,34.649887
Wyoming,HP Color LaserJet CP4520 Series,no free month,116.202995
Florida,HP Laserjet Enterprise M554,9 months of Instant Ink,88.68481
Connecticut,HP Color LaserJet M555dn,6 months of Instant Ink,23.475775
Rhode Island,HP ColorLaserjet Pro MFP 4301FDW,3 months of Instant Ink,108.0838
Vermont,HP ColorLaserJet 255dw,6 months of Instant Ink,120.91923
South Dakota,HP LaserJet 5200,3 months of Instant Ink,118.64032
North Dakota,HP LaserJet 500 color M551,9 months of Instant Ink,104.446045
Rhode Island,HP Color LaserJet M555x,9 months of Instant Ink,97.395096
Hawaii,HP Laserjet M425dn,6 months of Instant Ink,93.85231
Mississippi,HP Color LaserJet M555x,3 months of Instant Ink,61.13023
Delaware,HP Color LaserJet M611X,no free month,33.676853
Illinois,HP LaserJet P3010 Series,9 months of Instant Ink,88.99958
Oregon,HP ColorLaserjet Pro MFP 4301FDW,no free month,108.720024
Florida,HP LaserJet 700 M712,6 months of Instant Ink,63.94487
Nebraska,hp LaserJet 4350,9 months of Instant Ink,136.4849
Mississippi,HP Laserjet Enterprise M554,no free month,118.589874
Wyoming,HP LaserJet P4015,no free month,163.3628
Maryland,HP Color Laserjet Pro MFP 4301,no free month,63.394363
Mississippi,HP LaserJet 500 color M551,9 months of Instant Ink,82.50749
Florida,HP LaserJet 600 M601,3 months of Instant Ink,57.520046
Utah,HP Laserjet M425dn,9 months of Instant Ink,156.72964
Arkansas,HP Color LaserJet CP5225n,3 months of Instant Ink,11.22147
Vermont,hp color LaserJet 5550,3 months of Instant Ink,169.56409
Connecticut,HP LaserJet Pro 4001dn,6 months of Instant Ink,80.76621
Virginia,HP Color LaserJet CP4520 Series,6 months of Instant Ink,104.06896
New Mexico,HP LaserJet 500 color M551,3 months of Instant Ink,94.88556
Indiana,HP LaserJet 600 M602,6 months of Instant Ink,70.92273
Mississippi,HP LaserJet 600 M602,no free month,91.39534
Connecticut,HP Color LaserJet M555x,no free month,29.398733
Maryland,hp LaserJet 4350,3 months of Instant Ink,121.31935
Montana,HP Laserjet Enterprise M554,3 months of Instant Ink,118.453445
Wisconsin,HP Laserjet M551,6 months of Instant Ink,170.31754
Iowa,HP Color Laserjet M751,6 months of Instant Ink,47.041798
Delaware,HP LaserJet M607,6 months of Instant Ink,64.48798
Louisiana,HP Laserjet Enterprise M554,9 months of Instant Ink,106.849205
New Hampshire,HP Color LaserJet CP4520 Series,6 months of Instant Ink,66.32823
Alabama,HP LaserJet M609,6 months of Instant Ink,54.08066
Arizona,HP ColorLaserJet 255dw,9 months of Instant Ink,35.44243
Florida,HP Color LaserJet CP5225n,6 months of Instant Ink,23.873705
North Dakota,HP LaserJet 5200,no free month,108.11084
Montana,HP LaserJet 600 M602,3 months of Instant Ink,91.770096
Michigan,HP Color Laserjet Pro MFP m479fdw ,9 months of Instant Ink,70.08805
South Dakota,HP Color LaserJet M555x,no free month,103.45872
Virginia,HP LaserJet M806,3 months of Instant Ink,144.30591
Kentucky,HP LaserJet M609,9 months of Instant Ink,85.70887
Maryland,HP LaserJet 700 M712,9 months of Instant Ink,85.47141
Wisconsin,HP LaserJet 600 M602,9 months of Instant Ink,143.4046
Vermont,HP LaserJet M609,3 months of Instant Ink,137.87064
Illinois,HP Color LaserJet CP5225n,no free month,36.018597
Nevada,HP LaserJet M609,9 months of Instant Ink,105.58015
Delaware,HP Color LaserJet CP5225n,3 months of Instant Ink,20.004412
Rhode Island,HP Laserjet M551,3 months of Instant Ink,150.38304
Delaware,HP Color LaserJet M555x,no free month,31.43706
Wisconsin,HP LaserJet 600 M601,no free month,143.07407
Washington,HP Color Laserjet Pro MFP m479fdn,9 months of Instant Ink,122.9718
Mississippi,HP LaserJet M609,6 months of Instant Ink,97.003716
Louisiana,HP LaserJet 5200,9 months of Instant Ink,73.72412
Florida,HP Color Laserjet Pro MFP m479fdn,9 months of Instant Ink,41.36523
New York,hp LaserJet 4350,9 months of Instant Ink,145.2563
Vermont,HP Color Laserjet Pro MFP m479fdw ,no free month,122.26362
Kentucky,HP LaserJet 600 M602,3 months of Instant Ink,74.97058
Michigan,HP Color LaserJet M555x,6 months of Instant Ink,58.416534
Tennessee,HP LaserJet P4015,3 months of Instant Ink,142.91962
Maine,HP Color Laserjet Pro MFP 4301,no free month,61.200024
Florida,HP LaserJet 600 M602,no free month,64.16757
Massachusetts,HP Color LaserJet CP5520 Series,6 months of Instant Ink,52.21117
New Hampshire,HP Laserjet M611dn,no free month,138.43901
New Hampshire,HP Color Laserjet Pro MFP m479fdw ,6 months of Instant Ink,83.80443
Delaware,hp LaserJet 4350,3 months of Instant Ink,97.1565
Indiana,HP LaserJet 5200,no free month,67.79155
Missouri,HP LaserJet M607,3 months of Instant Ink,95.13247
Rhode Island,HP Laserjet Enterprise M554,9 months of Instant Ink,144.68095
Texas,HP Color LaserJet CP4520 Series,3 months of Instant Ink,95.781784
Hawaii,HP Laserjet M425dn,6 months of Instant Ink,93.85231
Kentucky,HP Color LaserJet CP5225n,6 months of Instant Ink,41.494713
Ohio,HP Color LaserJet CP4520 Series,3 months of Instant Ink,78.02142
Utah,HP LaserJet 600 M602,6 months of Instant Ink,130.77548
Nevada,HP Color Laserjet Pro MFP m479fdn,6 months of Instant Ink,79.60459
New Mexico,HP LaserJet P4015,6 months of Instant Ink,123.27598
Alaska,HP Color LaserJet CP5520 Series,6 months of Instant Ink,11.444483
Nevada,HP Laserjet M501dn,no free month,131.14586
Wyoming,HP Laserjet Enterprise M554,no free month,167.52122
Oklahoma,HP Laserjet M611dn,9 months of Instant Ink,149.669
New York,HP ColorLaserjet Pro MFP 4301FDW,9 months of Instant Ink,96.07341
Nebraska,HP Laserjet M551,6 months of Instant Ink,129.73103
North Dakota,HP LaserJet P4015,3 months of Instant Ink,127.83961
Connecticut,HP ColorLaserJet 255dw,no free month,44.71514
Wisconsin,HP Laserjet Enterprise M554,3 months of Instant Ink,161.61282
Mississippi,HP LaserJet 600 M602,no free month,91.39534
Alabama,HP Color Laserjet Pro MFP m479fdn,3 months of Instant Ink,23.475956
Washington,HP LaserJet Pro 4001dn,9 months of Instant Ink,157.61899
Nebraska,HP Color LaserJet CP5520 Series,9 months of Instant Ink,67.116425
Arkansas,HP Color LaserJet CP5225n,no free month,16.96077
Maine,HP Color LaserJet M555dn,3 months of Instant Ink,48.15306
Mississippi,HP LaserJet M806,9 months of Instant Ink,103.5497
Indiana,HP Color Laserjet Pro MFP m479fdw ,9 months of Instant Ink,53.238323
Minnesota,hp color LaserJet 5550,9 months of Instant Ink,132.23721
Connecticut,HP LaserJet P3010 Series,no free month,78.447815
Connecticut,HP LaserJet M609,6 months of Instant Ink,65.1051
Virginia,HP ColorLaserjet Pro MFP 4301FDW,6 months of Instant Ink,125.11907
Florida,HP Laserjet M501dn,3 months of Instant Ink,91.083046
Georgia,HP Laserjet M501dn,6 months of Instant Ink,94.46941
Wisconsin,HP Color Laserjet Pro MFP 4301,6 months of Instant Ink,123.679985
Maine,HP Color Laserjet Pro MFP m479fdw ,no free month,65.16337
Utah,hp LaserJet 4350,6 months of Instant Ink,166.13991
Alaska,HP LaserJet P3010 Series,6 months of Instant Ink,66.36794
North Carolina,HP Color LaserJet M611X,6 months of Instant Ink,84.559685
Mississippi,HP Color LaserJet CP5225n,no free month,60.288967
Rhode Island,HP LaserJet M610,6 months of Instant Ink,128.40305
Missouri,HP ColorLaserJet 255dw,6 months of Instant Ink,77.012245
Alabama,HP Color Laserjet Pro MFP m479fdw ,9 months of Instant Ink,29.172913
Arkansas,HP Laserjet M425dn,3 months of Instant Ink,79.2424
Rhode Island,HP LaserJet M607,9 months of Instant Ink,125.51051
California,HP Color LaserJet M555dn,no free month,23.25746
Alaska,HP LaserJet M607,6 months of Instant Ink,53.096638
South Carolina,HP Color LaserJet CP5520 Series,9 months of Instant Ink,95.94723
Nevada,HP LaserJet M806X,9 months of Instant Ink,113.543915
Tennessee,HP Laserjet M501dn,6 months of Instant Ink,154.49884
North Carolina,HP LaserJet 600 M601,9 months of Instant Ink,106.2645
Ohio,HP LaserJet P4015,no free month,132.97807
Minnesota,HP LaserJet 5200,no free month,84.45036
Missouri,HP LaserJet P3010 Series,9 months of Instant Ink,110.81609
Minnesota,HP Color LaserJet M611X,9 months of Instant Ink,64.29136
North Dakota,HP Color Laserjet Pro MFP m479fdn,3 months of Instant Ink,91.0956
Nebraska,HP Laserjet M425dn,9 months of Instant Ink,125.40714
Wisconsin,HP LaserJet M609,no free month,151.05832
Kansas,HP LaserJet Pro 4001dn,3 months of Instant Ink,97.70644
Colorado,HP LaserJet P3010 Series,9 months of Instant Ink,74.954346
New Mexico,HP Laserjet M551,no free month,139.15506
North Dakota,HP Color LaserJet CP4520 Series,no free month,80.660995
North Dakota,HP Color LaserJet CP5520 Series,no free month,84.27569
Texas,HP ColorLaserJet 255dw,9 months of Instant Ink,118.205536
Connecticut,HP Color Laserjet Pro MFP 4301,no free month,37.030075
Hawaii,HP ColorLaserJet 255dw,6 months of Instant Ink,49.043278
Arkansas,HP LaserJet 700 M712,3 months of Instant Ink,52.76692
Florida,HP LaserJet 500 color M551,3 months of Instant Ink,52.45683
Georgia,HP Laserjet M425dn,9 months of Instant Ink,93.27032
Hawaii,HP LaserJet Pro 4001dn,6 months of Instant Ink,88.649704
Oklahoma,HP Color Laserjet M751,no free month,96.4981
Texas,HP ColorLaserJet 255dw,no free month,119.88049
Kentucky,HP Color LaserJet CP4520 Series,3 months of Instant Ink,38.06064
Kansas,HP Laserjet Enterprise M554,9 months of Instant Ink,103.02069
Alaska,hp LaserJet 4350,no free month,90.463486
Oregon,hp color LaserJet 5550,6 months of Instant Ink,155.69179
New Mexico,HP Designjet Z6 (Large Format),9 months of Instant Ink,95.856544
Colorado,HP Color Laserjet Pro MFP m479fdw ,3 months of Instant Ink,35.97924
Iowa,HP Color Laserjet Pro MFP m479fdn,no free month,54.392944
Virginia,HP Color Laserjet Pro MFP m479fdw ,3 months of Instant Ink,119.43307
Vermont,HP Color Laserjet Pro MFP m479fdw ,6 months of Instant Ink,118.913704
Colorado,HP LaserJet M806X,no free month,73.93046
West Virginia,HP Laserjet M611dn,3 months of Instant Ink,169.97173
Arkansas,hp color LaserJet 5550,6 months of Instant Ink,93.78247
Minnesota,HP Color LaserJet CP4520 Series,3 months of Instant Ink,51.3809
Rhode Island,HP LaserJet M609,6 months of Instant Ink,126.23719
New Hampshire,HP Laserjet Enterprise M554,6 months of Instant Ink,124.94977
South Dakota,HP Laserjet M425dn,6 months of Instant Ink,149.99014
California,HP Color LaserJet M555dn,6 months of Instant Ink,19.53461
Maryland,HP Designjet Z6 (Large Format),6 months of Instant Ink,71.04985
Hawaii,HP LaserJet 500 color M551,6 months of Instant Ink,57.351578
Colorado,hp color LaserJet 5550,9 months of Instant Ink,98.755745
Kansas,HP Laserjet M425dn,no free month,106.844894
Nevada,HP Laserjet M501dn,3 months of Instant Ink,127.500885
Oregon,HP Color LaserJet CP5520 Series,6 months of Instant Ink,87.652145
Iowa,HP Color Laserjet Pro MFP m479fdw ,3 months of Instant Ink,52.66929
Mississippi,HP LaserJet Pro 4001dn,6 months of Instant Ink,113.39045
Kentucky,HP Laserjet M611dn,9 months of Instant Ink,115.23261
Vermont,HP LaserJet 5200,3 months of Instant Ink,127.35208
Maine,HP Laserjet Enterprise M554,9 months of Instant Ink,108.60348
Alaska,hp LaserJet 4350,9 months of Instant Ink,89.01854
Delaware,HP LaserJet M609,6 months of Instant Ink,67.0893
Colorado,HP ColorLaserJet 255dw,3 months of Instant Ink,38.455532
Wisconsin,HP Designjet Z6 (Large Format),3 months of Instant Ink,132.03261
Idaho,HP Color Laserjet Pro MFP m479fdw ,no free month,51.025154
South Carolina,HP Color Laserjet Pro MFP m479fdn,3 months of Instant Ink,104.26158
Wyoming,HP LaserJet M610,9 months of Instant Ink,153.59583
Connecticut,HP LaserJet 500 color M551,3 months of Instant Ink,48.191723
Colorado,HP LaserJet 500 color M551,no free month,50.612595
Arizona,HP LaserJet 600 M602,3 months of Instant Ink,48.281025
Maryland,HP Color LaserJet CP4520 Series,3 months of Instant Ink,44.720768
Rhode Island,HP Color LaserJet M611X,6 months of Instant Ink,97.72566
Oklahoma,HP Color Laserjet Pro MFP 4301,3 months of Instant Ink,93.47874
North Dakota,hp color LaserJet 5550,9 months of Instant Ink,151.5343
California,HP Color LaserJet CP5225n,6 months of Instant Ink,15.145363
Wisconsin,HP LaserJet M609,no free month,151.05832
Nebraska,HP LaserJet 600 M602,3 months of Instant Ink,93.6551
Alaska,HP Color Laserjet Pro MFP 4301,9 months of Instant Ink,25.781282
Florida,HP ColorLaserjet Pro MFP 4301FDW,6 months of Instant Ink,48.30415
Florida,HP Color LaserJet CP5225n,9 months of Instant Ink,25.581982
Colorado,HP LaserJet 600 M601,6 months of Instant Ink,52.715683
Arkansas,HP ColorLaserJet 255dw,no free month,39.06863
Michigan,HP Color LaserJet M611X,3 months of Instant Ink,58.74709
Rhode Island,HP Laserjet Enterprise M554,no free month,145.76547
Kansas,HP LaserJet 5200,9 months of Instant Ink,70.1031
Arizona,HP ColorLaserjet Pro MFP 4301FDW,9 months of Instant Ink,38.033344
West Virginia,HP LaserJet M610,9 months of Instant Ink,149.24416
New Hampshire,HP LaserJet M806X,6 months of Instant Ink,114.25172
Connecticut,HP LaserJet 5200,9 months of Instant Ink,53.51148
Wyoming,HP LaserJet 700 M712,9 months of Instant Ink,147.60443
Mississippi,HP Laserjet M425dn,3 months of Instant Ink,117.714325
Kansas,HP LaserJet M610,9 months of Instant Ink,86.72403
Oklahoma,HP Laserjet M425dn,9 months of Instant Ink,141.6627
Florida,HP LaserJet 500 color M551,9 months of Instant Ink,55.008884
Wisconsin,HP LaserJet 600 M601,9 months of Instant Ink,141.3991
Pennsylvania,HP Color LaserJet CP5225n,3 months of Instant Ink,86.39478
Wyoming,HP Designjet Z6 (Large Format),no free month,139.25183
Texas,HP Color LaserJet CP5520 Series,3 months of Instant Ink,99.29478
Illinois,HP LaserJet Pro 4001dn,9 months of Instant Ink,94.08622
Missouri,HP Color Laserjet Pro MFP 4301,no free month,74.36601
North Carolina,HP Color LaserJet M555dn,no free month,83.89856
Iowa,HP Color LaserJet M555dn,3 months of Instant Ink,39.37575
Maryland,HP Color Laserjet M751,6 months of Instant Ink,58.03891
Alabama,HP LaserJet 500 color M551,9 months of Instant Ink,39.69472
Mississippi,HP LaserJet M806X,no free month,107.46929
Louisiana,HP Color Laserjet Pro MFP m479fdw ,9 months of Instant Ink,61.308865
Pennsylvania,HP LaserJet 500 color M551,9 months of Instant Ink,113.25043
Virginia,HP Color LaserJet M611X,6 months of Instant Ink,113.08595
Missouri,HP LaserJet M806X,no free month,109.261696
Maryland,HP LaserJet M806,3 months of Instant Ink,94.08059
Arkansas,HP LaserJet M806X,6 months of Instant Ink,67.30855
New York,HP Laserjet M425dn,6 months of Instant Ink,133.11655
Nebraska,HP LaserJet 600 M601,no free month,94.76431
Minnesota,HP LaserJet M607,3 months of Instant Ink,91.35904
North Carolina,HP Color Laserjet Pro MFP 4301,no free month,91.92065
Connecticut,hp LaserJet 4350,9 months of Instant Ink,97.95243
Louisiana,HP Laserjet M501dn,3 months of Instant Ink,109.51291
Nevada,HP Color Laserjet Pro MFP 4301,6 months of Instant Ink,77.59907
Missouri,HP Color LaserJet CP5520 Series,3 months of Instant Ink,59.399166
Pennsylvania,hp color LaserJet 5550,no free month,159.88322
New Jersey,HP Color LaserJet M555x,3 months of Instant Ink,74.29519
Missouri,HP Color LaserJet M555x,no free month,68.34946
Indiana,HP Color LaserJet CP4520 Series,6 months of Instant Ink,33.03228
Pennsylvania,HP LaserJet M806,no free month,131.02484
Washington,HP LaserJet M609,6 months of Instant Ink,143.53825
Indiana,HP LaserJet 500 color M551,no free month,65.09403
West Virginia,HP LaserJet 600 M602,3 months of Instant Ink,138.02937
Rhode Island,HP Designjet Z6 (Large Format),6 months of Instant Ink,111.76428
Maryland,HP Color LaserJet M555x,9 months of Instant Ink,55.70284
South Dakota,HP Laserjet M501dn,3 months of Instant Ink,151.52934
Iowa,HP Designjet Z6 (Large Format),no free month,64.31802
Delaware,HP ColorLaserjet Pro MFP 4301FDW,no free month,49.205605
Oklahoma,HP LaserJet 500 color M551,9 months of Instant Ink,108.85497
North Dakota,HP Laserjet Enterprise M554,no free month,136.44647
Montana,HP Color Laserjet Pro MFP m479fdw ,9 months of Instant Ink,78.896416
Idaho,HP LaserJet 5200,no free month,64.30528
Georgia,HP Color Laserjet Pro MFP m479fdw ,3 months of Instant Ink,43.304565
Idaho,HP LaserJet M806X,no free month,85.71376
Idaho,HP Laserjet M551,no free month,103.8435
Utah,HP Designjet Z6 (Large Format),9 months of Instant Ink,124.41088
Colorado,HP LaserJet 600 M602,9 months of Instant Ink,56.766727
Rhode Island,HP Color LaserJet CP5225n,no free month,93.55529
New Hampshire,HP Color LaserJet M555x,no free month,77.12677
Georgia,HP Color LaserJet M555dn,no free month,33.61074
Ohio,HP Color LaserJet M555x,6 months of Instant Ink,86.94282
Texas,HP Color Laserjet Pro MFP m479fdw ,no free month,117.87496
Connecticut,HP Laserjet M611dn,9 months of Instant Ink,95.30784
Mississippi,HP LaserJet M806,3 months of Instant Ink,101.132225
Georgia,HP LaserJet Pro 4001dn,9 months of Instant Ink,88.067696
Alaska,HP Color Laserjet Pro MFP 4301,6 months of Instant Ink,24.124577
Maine,HP ColorLaserJet 255dw,3 months of Instant Ink,62.851307
Illinois,HP Designjet Z6 (Large Format),no free month,60.65811
New Hampshire,HP LaserJet 600 M601,6 months of Instant Ink,96.162186
Delaware,HP LaserJet M607,9 months of Instant Ink,65.890175
Florida,HP Color LaserJet CP5225n,6 months of Instant Ink,23.873705
Texas,HP LaserJet P4015,9 months of Instant Ink,147.03815
